StoryID,StoryText,Primary_Type,Ground_Truth_HasAmbiguity,Ground_Truth_Types,LLM_HasAmbiguity,LLM_Types,LLM_Explanation,Model
US-C1-339,"As a financial advisor, I want to handle finances so that I can comply with regulations",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'handle' is vague and the scope of 'finances' and 'comply with regulations' is unclear,gpt-3.5-turbo
US-C4-7013,"As a network admin, I want to update configuration so that I can avoid overage charges",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'update' is vague and could be more specific. The user role 'network admin' is generic and lacks details.,gpt-3.5-turbo
US-C4-7619,"As a service representative, I would like to manage service to maintain connectivity",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'manage' is vague and the scope of 'service' and 'connectivity' is unclear,gpt-3.5-turbo
US-C1-308,"As a financial advisor, I want to access system so that I can improve security with detailed specifications and comprehensive requirements",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'improve' and 'access', unclear scope in terms of what system is being referred to, and the actor 'financial advisor' is not clearly defined.",gpt-3.5-turbo
US-C5-9497,"As a customer, I want to process application in order to improve security",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs ('process') and a generic user role ('customer') without clear specification.,gpt-3.5-turbo
US-C2-2396,"As a healthcare provider, I need to manage health data so that I can ensure compliance",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'manage' and unclear scope regarding what specific health data needs to be managed and what compliance requirements need to be met.,gpt-3.5-turbo
US-C6-10819,"As a doctor, I want to manage health data in order to enhance safety",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'manage' is vague and the user role 'doctor' is not specific enough,gpt-3.5-turbo
US-C8-12624,"As a plant manager, I need to optimize workflow so that I can ensure quality with detailed specifications and comprehensive requirements",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'optimize' and unclear scope regarding what optimizing workflow entails and what specific requirements are needed for quality assurance.,gpt-3.5-turbo
US-C6-10998,"As a medical staff, I want to process medical information so that I can enhance safety",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope in terms of what specific medical information needs to be processed and how safety will be enhanced.,gpt-3.5-turbo
US-C4-8811,"As a service representative, I would like to handle network issues to avoid overage charges",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'service representative' is not clearly defined,gpt-3.5-turbo
