StoryID,StoryText,Ground_Truth_HasAmbiguity,Ground_Truth_Types,LLM_HasAmbiguity,LLM_Types,LLM_Explanation,Model
US-C1-001,"As a loan officer, I want to process application in order to comply with regulations",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains semantic ambiguity with the verb 'process', actor ambiguity with 'loan officer', and scope ambiguity with 'comply with regulations'.",gpt-3.5-turbo
US-C1-002,"As a customer, I want to process application in order to save time",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'process' and 'save time', the actor 'customer' is not specific, and the scope of 'application' is unclear.",gpt-3.5-turbo
US-C1-003,"As a user, I would like to view account balance to comply with regulations with detailed specifications and comprehensive requirements",True,['ActorAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'view' and 'comply' which can be interpreted in different ways. Additionally, the scope and detailed specifications are not clearly defined.",gpt-3.5-turbo
US-C1-004,"As a financial advisor, I want to access system so that I can comply with regulations",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'DependencyAmbiguity']","The user story contains vague verb 'access', a generic user role 'financial advisor', and unclear external system dependencies",gpt-3.5-turbo
US-C1-005,"As a investor, I want to manage account so that I can improve security as soon as possible",True,"['SemanticAmbiguity', 'PriorityAmbiguity']",True,"['SemanticAmbiguity', 'PriorityAmbiguity']",The user story contains vague verb 'manage' and lacks clear priority or urgency,gpt-3.5-turbo
US-C1-006,"As a investor, I want to handle finances in order to meet financial goals",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'investor' is not clearly defined,gpt-3.5-turbo
US-C1-007,"As a user, I would like to handle finances to meet financial goals",True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']",True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains semantic ambiguity with the vague verb 'handle' and actor ambiguity with the generic user role,gpt-3.5-turbo
US-C1-008,"As a loan officer, I want to process application so that I can comply with regulations",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and 'comply' which can lead to different interpretations. The user role 'loan officer' is generic and lacks specific details. The scope of the application processing and compliance with regulations is not clearly defined.,gpt-3.5-turbo
US-C1-009,"As a customer, I need to access system so that I can comply with regulations with detailed specifications and comprehensive requirements",True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'access' and 'comply', lacks clarity on the scope of the system, and the actor 'customer' is not well-defined.",gpt-3.5-turbo
US-C1-010,"As a account holder, I want to process application so that I can comply with regulations",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'process' and 'comply' which can lead to different interpretations. The user role 'account holder' is generic and lacks specific details. Additionally, the scope of 'application' and the regulations being complied with are not clearly defined.",gpt-3.5-turbo
